x y yRK4 yRK5 h
53.4 0.371818 0.371818 0.371808 0.0152553
53.5 0.368715 0.368715 0.368706 0.0152586
53.6 0.365629 0.365629 0.36562 0.0152619
53.7 0.36256 0.36256 0.362551 0.0152653
53.8 0.359508 0.359508 0.359498 0.0152686
53.9 0.356472 0.356472 0.356463 0.015272
54 0.353453 0.353453 0.353444 0.0152755
54.1 0.350451 0.350451 0.350441 0.015279
54.2 0.347465 0.347465 0.347456 0.0152825
54.3 0.344496 0.344496 0.344487 0.015286
54.4 0.341543 0.341543 0.341534 0.0152896
54.5 0.338607 0.338607 0.338598 0.0152931
54.6 0.335688 0.335688 0.335679 0.0152968
54.7 0.332785 0.332785 0.332776 0.0153004
54.8 0.329899 0.329899 0.32989 0.0153041
54.9 0.327029 0.327029 0.32702 0.0153078
55 0.324175 0.324175 0.324166 0.0153116
55.1 0.321338 0.321338 0.321329 0.0153154
55.2 0.318518 0.318518 0.318509 0.0153192
55.3 0.315714 0.315714 0.315705 0.0153231
55.4 0.312926 0.312926 0.312917 0.015327
55.5 0.310154 0.310154 0.310145 0.0153309
55.6 0.307399 0.307399 0.30739 0.0153349
55.7 0.30466 0.30466 0.304651 0.0153389
55.8 0.301938 0.301938 0.301929 0.0153429
55.9 0.299232 0.299232 0.299223 0.015347
56 0.296541 0.296541 0.296532 0.0153511
56.1 0.293868 0.293868 0.293858 0.0153553
56.2 0.29121 0.29121 0.291201 0.0153595
56.3 0.288568 0.288568 0.288559 0.0153637
