x y y_analytic yRK4 yRK5 h
0.178 -0.0778353 -0.0496175 -0.0778353 -0.0778352 1.56153e-06
0.179 -0.0787081 -0.0501746 -0.0787081 -0.078708 1.56161e-06
0.18 -0.0795857 -0.0507347 -0.0795857 -0.0795856 1.5617e-06
0.181 -0.0804682 -0.051298 -0.0804682 -0.0804681 1.56179e-06
0.182 -0.0813555 -0.0518643 -0.0813555 -0.0813554 1.56187e-06
0.183 -0.0822476 -0.0524337 -0.0822476 -0.0822475 1.56196e-06
0.184 -0.0831446 -0.0530062 -0.0831446 -0.0831445 1.56205e-06
0.185 -0.0840464 -0.0535817 -0.0840464 -0.0840463 1.56214e-06
0.186 -0.0849531 -0.0541603 -0.0849531 -0.084953 1.56223e-06
0.187 -0.0858646 -0.0547419 -0.0858646 -0.0858645 1.56233e-06
0.188 -0.086781 -0.0553266 -0.086781 -0.0867809 1.56242e-06
0.189 -0.0877021 -0.0559144 -0.0877021 -0.0877021 1.56251e-06
0.19 -0.0886282 -0.0565053 -0.0886282 -0.0886281 1.56261e-06
0.191 -0.089559 -0.0570992 -0.089559 -0.0895589 1.56271e-06
0.192 -0.0904947 -0.0576961 -0.0904947 -0.0904946 1.5628e-06
0.193 -0.0914352 -0.0582961 -0.0914352 -0.0914352 1.5629e-06
0.194 -0.0923806 -0.0588992 -0.0923806 -0.0923805 1.563e-06
0.195 -0.0933308 -0.0595053 -0.0933308 -0.0933307 1.5631e-06
0.196 -0.0942858 -0.0601145 -0.0942858 -0.0942858 1.5632e-06
0.197 -0.0952457 -0.0607268 -0.0952457 -0.0952456 1.5633e-06
0.198 -0.0962104 -0.061342 -0.0962104 -0.0962103 1.56341e-06
0.199 -0.0971799 -0.0619604 -0.0971799 -0.0971799 1.56351e-06
0.2 -0.0981543 -0.0625818 -0.0981543 -0.0981542 1.56362e-06
0.201 -0.0991335 -0.0632062 -0.0991335 -0.0991334 1.56372e-06
0.202 -0.100118 -0.0638337 -0.100118 -0.100117 1.56383e-06
0.203 -0.101106 -0.0644642 -0.101106 -0.101106 1.56394e-06
0.204 -0.1021 -0.0650978 -0.1021 -0.1021 1.56405e-06
0.205 -0.103099 -0.0657344 -0.103099 -0.103098 1.56416e-06
0.206 -0.104102 -0.0663741 -0.104102 -0.104102 1.56427e-06
0.207 -0.10511 -0.0670168 -0.10511 -0.10511 1.56439e-06
0.208 -0.106123 -0.0676625 -0.106123 -0.106123 1.5645e-06
0.209 -0.107141 -0.0683113 -0.107141 -0.107141 1.56462e-06
0.21 -0.108164 -0.0689631 -0.108164 -0.108163 1.56473e-06
0.211 -0.109191 -0.069618 -0.109191 -0.109191 1.56485e-06
0.212 -0.110223 -0.0702759 -0.110223 -0.110223 1.56497e-06
0.213 -0.11126 -0.0709368 -0.11126 -0.11126 1.56509e-06
0.214 -0.112302 -0.0716008 -0.112302 -0.112302 1.56521e-06
0.215 -0.113349 -0.0722677 -0.113349 -0.113349 1.56534e-06
0.216 -0.114401 -0.0729378 -0.114401 -0.114401 1.56546e-06
0.217 -0.115457 -0.0736108 -0.115457 -0.115457 1.56559e-06
0.218 -0.116518 -0.0742869 -0.116518 -0.116518 1.56571e-06
0.219 -0.117584 -0.0749659 -0.117584 -0.117584 1.56584e-06
0.22 -0.118655 -0.0756481 -0.118655 -0.118655 1.56597e-06
0.221 -0.119731 -0.0763332 -0.119731 -0.119731 1.5661e-06
0.222 -0.120811 -0.0770213 -0.120811 -0.120811 1.56623e-06
0.223 -0.121897 -0.0777125 -0.121897 -0.121897 1.56636e-06
0.224 -0.122987 -0.0784067 -0.122987 -0.122987 1.5665e-06
0.225 -0.124082 -0.0791039 -0.124082 -0.124082 1.56663e-06
0.226 -0.125181 -0.0798041 -0.125181 -0.125181 1.56677e-06
0.227 -0.126286 -0.0805074 -0.126286 -0.126286 1.56691e-06
0.228 -0.127395 -0.0812136 -0.127395 -0.127395 1.56705e-06
0.229 -0.12851 -0.0819229 -0.12851 -0.128509 1.56719e-06
0.23 -0.129629 -0.0826351 -0.129629 -0.129628 1.56733e-06
0.231 -0.130752 -0.0833504 -0.130752 -0.130752 1.56747e-06
0.232 -0.131881 -0.0840687 -0.131881 -0.131881 1.56762e-06
0.233 -0.133014 -0.0847899 -0.133014 -0.133014 1.56776e-06
0.234 -0.134153 -0.0855142 -0.134153 -0.134153 1.56791e-06
0.235 -0.135296 -0.0862415 -0.135296 -0.135296 1.56806e-06
0.236 -0.136444 -0.0869718 -0.136444 -0.136443 1.56821e-06
0.237 -0.137596 -0.087705 -0.137596 -0.137596 1.56836e-06
0.238 -0.138754 -0.0884413 -0.138754 -0.138754 1.56851e-06
0.239 -0.139916 -0.0891805 -0.139916 -0.139916 1.56867e-06
0.24 -0.141083 -0.0899228 -0.141083 -0.141083 1.56883e-06
0.241 -0.142255 -0.090668 -0.142255 -0.142255 1.56898e-06
0.242 -0.143432 -0.0914162 -0.143432 -0.143431 1.56914e-06
0.243 -0.144613 -0.0921674 -0.144613 -0.144613 1.5693e-06
0.244 -0.145799 -0.0929216 -0.145799 -0.145799 1.56947e-06
0.245 -0.14699 -0.0936788 -0.14699 -0.14699 1.56963e-06
0.246 -0.148186 -0.094439 -0.148186 -0.148186 1.56979e-06
0.247 -0.149387 -0.0952021 -0.149387 -0.149387 1.56996e-06
0.248 -0.150592 -0.0959682 -0.150592 -0.150592 1.57013e-06
0.249 -0.151803 -0.0967373 -0.151803 -0.151803 1.5703e-06
0.25 -0.153018 -0.0975093 -0.153018 -0.153018 1.57047e-06
0.251 -0.154238 -0.0982843 -0.154238 -0.154237 1.57064e-06
0.252 -0.155462 -0.0990623 -0.155462 -0.155462 1.57082e-06
0.253 -0.156692 -0.0998433 -0.156692 -0.156692 1.57099e-06
